50 dặm	fifty-mile
cay đắng	spicy and bitter, negatively bitter feeling
cây dương	poplar
cây dương tía	alder
cây gậy	the stick
cây giáo	pike
cây húng quế	basil
cây liễu	willow
cây ngải đắng	absinthe
cây ngưu bàng	burdock
cây nhung tuyết	edelweiss
cây ô rô	acanthus
cây óc chó	walnut
cây thông	pine
cây thủy tiên hoa vàng	daffodil
cây tre	bamboo
cây trồng	crop
cây xương rồng	cactus
cay, nóng	hot
cha	father
chà	rub, scrape, expression: Oh, well!
chả	grilled chopped meat/fish/shrimp
chạ	promiscuous
cha đỡ đầu	godfather
cha mẹ 	father mother, parents
cha tôi 	my father
chắc	probably(with uncertainty when in front of adjective), sure(when at the end)
chắc chắn	sure
chai	bottle
chái	lean-to, hip of roof
chải	comb, brush
châm	prick
chăm	diligent, care for
chấm	a dot; to grade
chạm	touch, carve, sculpt
chậm	slow
chăm 	take care, diligent
chạm 	touch
châm biếm	satire
chằm chằm	glare, intently
chậm chạp	sluggish
chăm chú	intent focus
chấm dứt	terminate
chậm hơn	slower
châm ngôn	adage, proverb, precept
chăm sóc	care
chậm trễ	delay
chạm, sờ	touch
chan	pour (liquid food) over…
chán	bore, lose interest
chân	leg
chăn	blanket
chắn	block, to bar, to obstruct, to stop
chẩn	diagnosis
chặn	blockade
chán 	bored
chắn 	sure
chặn 	block
chăn bò	cow herding
chẩn đoán	diagnose
chẩn đoán được	diagnosable
chấn động	concussion, commotion
chân dung	portrait
chân không	barefoot
chán ngắt	wearisome
chân tay	limb
chăn trâu	buffalo herding
chân trời	horizon
chăng	reasonable?
chẳng	don't, not
chạng	stand astride with legs a bit spread out
chàng 	he/you(male) (literary romantic)
chăng 	(question expression)
chang chang	blazing heat
chằng chịt 	interlaced, interweave
chẳng quản khó nhọc	tireless
chánh	head, chief, main
chao	soya cheese; rock, swing; expression: Oh
cháo	porridge
chào	invite, greet, hello, salute
chào bán	sale offer
chào mừng	welcome
chào tạm biệt	adieu
chấp	to give someone and edge in competition; to accept, grant; to resent, to have grudge against
chắp	folded, join; to clasp (the two hands)
chạp	twelfth month, last month
chập	 fasten together, to twist together
chấp nhận	accept, acknowledge
chấp nhận được	admissible, acceptable
chát	tart
chất	nature; substance, matter; to heap, to pile
chắt	great-grandchildren
chật	tight, lack of space
chặt	to chop
chất 	(chemical) nature
chật 	tight
chất ăn bố	nutriment
chất béo	fat
chặt chẽ	tight
chật chội 	cramped
chất dẫn	conductor
chất dinh dưỡng	nutrient
chất độc	poison
chất đống	to stack
chất gây ô nhiễm	pollutant
chất giảm vận động	depressor
chất keo	adhesive
chất kết dính	adhesive
chất khử mùi	deodorant
chất khử trùng	antiseptic
chất làm giảm độ axit	antacid
chất lỏng	fluid
chất lượng	quality
chất phun	aerosol
chất tẩy rửa	detergent
chất thải	wastes
chất thơm	aromatic
chất xúc tác	catalyst
cháu	niece/nephew
châu	continent
chầu	round, bout, session, period of time
Châu Á	Asia
châu âu	Europe(an)
châu chấu	locust
cháu gái	niece
cháu ngoại	grand children (daughter's children)
cháu nội	grand children (son's children)
cháu trai	nephew
cháy	burned, fire
chày	rice/food-pounding pestle
chảy	flow
chạy	run
chảy 	flow
chạy bộ	jog
chảy máu	bleed
chạy nước rút	sprint
chạy trốn	flee
chạy vụt ra	fling
che	cover, shade
chè	tea, sweet dessert
chê	belittle, put down
chế	prepare, manufacture, invent
chẻ	split
chê bai	to speak scornfully of, to disparage
che đậy	covert, obscure
chế độ ăn uống	diet
chế độ chuyên quyền	autocracy
chế độ quý tộc	aristocracy
che giấu	conceal
che lấp 	cover
chế ngự	overpower
chế nhạo	ridicule, taunt
che phủ	cover
chém	guillotine slash
chen	squeeze to get in
chèn	insert
chen lấn	push and shove
chênh lệch	differential
chểnh mảng	neglect
chéo	diagonal
chèo	to row; a traditional operetta
cheo leo	cliff
chép	copy
chết	die, dead
chết 	die, death
chết đuối	drown
chi	to spend; limb, leg
chí	head louse; will, ambition
chì	lead (metal); tough(slang)
chỉ	merely, only, show; a thread
chị	elder sister(level) female, 1st 2nd person female
chi 	payable
chị dâu	older sister in law
chị em	sisters
chị em họ	female cousins
chị gái	older sister
chỉ một	only one
chi nhánh	branch
chi phí	cost, expense
chỉ ra	indicate
chỉ số	index
chi tiết	detail
chỉ tơ	thread
chỉ trích	criticize
chia	divide, share
chìa	key-like object; to stretch out and show
chia đôi	divide in two
chia được	divisible
chìa khóa	key
chia sẻ	share
chia tay	break-up
chích chòe	magpie
chiếc	single, (unique classifier for an item of a set)
chiếc giày	shoe
chiếc phà	ferry
chiếm 	occupy, capture, take possession
chiếm đoạt	despoil
chiếm hữu 	occupy, capture, take possession
chiêm niệm	contemplate
chiếm ưu thế	dominant
chiến	war, fight
chiến 	fight, war
chiến đấu	combat, fight
chiến dịch	campaign
chiến sĩ	fighter
chiến thắng	victory
chiến tranh	war
chiến trường	battlefield
chiết xuất	extract
chiêu	to recruit
chiếu	a straw mat, project (picture) with light
chiều	afternoon 
chiếu 	projection, shine
chiều cao	height
chiều dài	length
chiêu đãi viên	waiter
chiều kim đồng hồ	clockwise
chiều rộng	width
chiếu sáng	illuminate
chiều sâu	depth
chim	bird
chìm	to sink
chim bồ câu	pigeon, dove
chim hải âu	seagull
chim hoàng yến	canary
chim sẻ	sparrow
chim sơn ca	bluebird
chim trĩ	pheasant
chim ưng	eagle, hawk
chín	nine, 9; ripe
chín mươi	ninety
chính	main, major, principal
chỉnh	to correct, to lecture and correct
chính anh ta	himself
chính giữa	in the middle of
chính họ	themselves
chỉnh lại	changeover
chính người	he himself
chính nó	itself
chính ông ấy	himself
chính phủ	government
chinh phục	conquer
chính sách	policy
chỉnh sửa	cobble
chính thức	official, formal
chính trị	political
chính trị gia	politician
chính xác	accurate, exact, precise
chíp	chip
chịu	to sustain, to bear, to accept
chịu 	subject to
chịu đựng	endured
chịu đựng 	bear, put up with
chịu đựng được	tolerable
chịu được	endure
chịu tốn thất	suffer loss
chịu trách nhiệm	liable
cho	for; to give, to indicate
chó	dog
chỗ	place
chớ	do not
chờ	wait
chở	transport
chợ	market
cho con 	for child(role, person)
chó dẫn đầu	lead-dog
cho đến khi	until
chờ đợi	wait
chó Ét-ki-mô	husky
chờ kết chuyển	deferred
cho là	presume
chó mặt bẹt	pug
cho mẹ 	for mother
chỗ ngồi	seat
chó nhà	house-dog
chỗ ở	accomodation
cho ông	for him
cho ông rằng	for him that
cho phép	to let, allow
chổ phỏng	scald
chỗ rộp da	blister
chó săn	hound, hunting dog
chó sói	wolf
cho thuê	lease
chỗ trốn	hiding place
cho vay	lend
choang	very bright, brightly-lit
choáng váng 	dizziness, stunned
chốc	moment, instant, while
chọc 	poke
chọc thủng	breakage
chòi	cabin
chối	broom
chồi	bud
chơi	play
chơi 	play
chơi giởn	trifle
chơi khăm 	hoax, play trick
chơi nhạc	play music
chơi rong	to loaf
chòm	grove, thicket, tuft; constellation (of stars)
chồm	to prance, to spring up
chỏm	apex
chôn	to bury
chốn	a place
chọn	pick, choose, select
chôn cất	burial
chóng	fast, rapid, quick
chống	resist against(military), stand up against (post hold up roof)
chồng	husband, to stack
chóng 	rapidly
chống 	fight against
chồng bà	her/your husband
chống bằng cột	pole
chồng chéo	overlap
chống cự 	resist, defend against
chóng khỏi 	quickly recover
chống lại	resist against
chống toát mồ hôi	antiperspirant
chóp	peak, tip
chớp	blink
chớp 	blink
chớp nhoáng 	lightning, in a split moment
chợt	suddenly
chú	uncle (father's younger brother)
chủ	master, lord
chứ	rather than
chữ	word
chú 	uncle, he, (sometime: explain phrases)
chứ 	but
chữ 	word
chú bác	uncles
chủ đề	topic
chữ in	print
chu kỳ	cycle
chữ ký	autograph
chủ nghĩa giáo điều	dogmatism
chủ nghĩa tích cực	activism
chủ nhà	host, landlord
chủ nợ	creditor
chú rể	the groom
chủ tịch	chairman
chữ tốt	good language knowledge
chữ viết tay	handwriting
chú ý	attention
chủ ý	intent
chua	sour
Chúa	God
chùa	temple
chưa	not yet
chứa	to contain
chừa	leave, spare, give up
chữa	to cure, to treat, to correct, to repair
chua 	sour
chữa bệnh	cure, medical treatment
chưa chín	raw
chưa giải quyết	pending
chưa khai hóa	barbarous
chúa tể	lord
Chúa Thánh Thần	The Holy Spirit
chưa?	yet?
chuẩn bị	prepare
chuẩn bị trước	prearrange
chúc	wish
chức	title, official
chực	stand by
chúc mừng	congratulate
chức năng	function
chúc sức khỏe	cheers
chúi	dive, bend one's head forward
chùi	wipe
chửi	curse
chửi 	curse
chửi thề 	swearing
chum	large clay jar/container (waist high)
chùm	beam
chụm	to huddle, to bunch, to gather; to light a fire
chung	join, together; in general, in common
chúng	they, (group prefix for us/we/they)
chủng	to vaccinate, to inoculate; type of (noun)
chứng	evidence, proof, nature
chừng	about, rough estimate
chứng 	proof
chứng cứ ngoại phạm	alibi
chứng mất ngôn ngữ	aphasia
chứng minh	prove, demonstrate
chứng minh được	can be proven
chúng nó	they
chung sống	living together
chúng ta	us
chứng thư	deed
chứng thực	endorse
chủng tộc	race, ethnicity
chúng tôi 	we, us
chúng tôi đã	we've
chứng viêm khớp	arthritis
chuộc	to redeem, to ransom
chước	trick, strategy
chuộc lại	redeem
chuộc lỗi	atone
chuối	banana
chuỗi	chain
chưởi rủa	curse
chuồn	dragonfly; to make oneself scarce, to disappear
chuồn chuồn	dragonfly
chuông	bell
chuồng	kennel, cage
chuộng	popular
chương	chapter
chương 	chapter
chường 	show up
chướng ngại vật	barricade
chương trình	program
chương trình giảng dạy	curriculum
chuốt	to polish; to sharpen
chuột	mouse
chuột cống	rat
chuột rút	cramp
chụp ảnh	photograph
chút	little
chút 	little, a bit
chuyên	specialized
chuyền	to pass on to each other
chuyển	move
chuyện	story
chuyến 	trip
chuyến bay	flight
chuyên chế	despotic
chuyện cố tích	fairy tale
chuyến đi	ride, trip
chuyển động	motion
chuyến du lịch	tour
chuyên gia dinh dưỡng	dietician
chuyển giao	transfer
chuyện ngẩu nhiên	incident
chuyên nghiệp	professional
chuyển phát nhanh	express courier
chuyện tào lao	gossip, garbage talk
chuyển tiếp	transition, transfer
chuyện tình cảm	romantic affair
clo	chlorine
co	to contract, to shrink
có	have
cò	stork
cô	aunt (father's younger sister), miss, young lady 
cố	try; great grandfather or mother
cỗ	feast; banquet
cỏ	grass
cơ	occasion; possibility; opportunity; card of heart
cổ	neck
cọ	to scrub, to scour; paint brush
cớ	excuse
cờ	flag
co 	contracting, pull back
có 	there is/are, have
cố 	try, (title for great grandparent)
cỡ 	size
cố áo	collar
cơ bản	fundamental, basic
cơ bắp	muscle
có cảm giác kim châm	prickle
có cảm giác ngứa	tingle
có cảm xúc lẫn lộn	ambivalent
có chừng mức	abstinent
cỏ dại	weed
co dãn	elastic
cô dâu	bride
cô dì	aunts
cố điển	classic
có điều kiện	conditional
cố định	fixed
cô độc	solitary
cô đơn	alone
có dung tích lớn	capacious
có được	acquire
cô gái	girl
cố gắng	try, attempt, trying effort
có giá trị, hữu hiệu	avail
cố giành lấy	wrest
cơ hội	opportunity, chance
cố họng	throat
có khả năng	sufficient, capable
có khả năng học hỏi	acquisitive
có khả năng thích nghi	adaptive
có khả năng thích ứng	adaptive
có khả năng tiếp thu	acquisitive
cỏ khô	hay, dry grass
có lẽ	perhaps
có lợi	beneficial, advantageous
có lợi cho	avail
có lúc	sometimes
có lý, lô gích	argumentative
có mây	cloudy
có mọi quyền lực	almighty
có mùi thơm	(to be) scented
có nghĩa là	mean(t)
có nhiều cây cối	(to be) wooded
có nhịp điệu	cadent
có pha a xít	acidulous
cơ quan	organ, authority, department
có quan hệ chặt chẽ với	adherent
có quyền phúc thẩm	appellate
có rất nhiều	abound
cọ sạch	scrub
cơ sở vật chất	facility
cô ta	her
cổ tay	wrist
cố tay áo	cuff
có thai	(is)pregnant
có thẩm quyền	competent, authorized
co thắt	spasm
có thể	can, possible, able
cơ thể	body
có thể bị giảm giá trị	depreciable
có thể bỏ qua	dispensable, forgivable
có thể nố	explosible
có thể thấy rõ	discernible
cố tích	fairy
có tính chất ngụ ý	allegoric
có tội	guilty
cố tức	dividend
cố vấn	advisor, consult, counsel
có vẻ như	seem
cố vũ	cheer
có xu hướng	tend
cố xưa	primitive, ancient
cố ý	deliberate, intentional
có ý là	meant
có ý thức	conscious, aware
cóc	a toad; never, not at all (attitude)
cốc	mug
cọc	pile
cốc, tách, chén	cup
coi	consider, deem
còi	horn
côi	orphan
cõi	realm, a world
cối	mortar (for pounding food)
cỡi	riding
cởi	remove
coi là	regarded as
coi nhẹ	downplay, take lightly
coi sóc 	take care
coi thường	contempt, despise, disdain
cối xay gió	windmill
còm	skinny, bony
cơm	rice
còm 	skinny
còn	still
côn	wooden baton weapon
cồn	alcohol
cơn	unique classifier (wild event)
còn 	still (have)
cơn ác mộng	nightmare
con bê	calf
con bò chét	tick(bug)
con bọ chét	flea
con cá	fish
con cái	off-spring
con cáo	fox
cồn cát	dune
con cháu	children nephew & nieces; descendant
con chó	dog
con chớ 	don't you(child) 
con chó gần bánh xe	wheel-dog
con chồn	weasel
còn có 	there is/are still
con cóc	toad
con công	peacock
con cọp	tiger
con cú	owl
con cún	puppy
con dao	knife
con dâu	daughter in law
cơn đau	pain
con đẻ	offspring
con đĩ	whore
con đỉa	leech
cơn đói	starvation, hunger
cơn đói điên rồ	hunger-madness
con đường	the path, way
con đường nhỏ	trail
con ếch	frog
con gà	chicken
con gà con	chick
con gái	daughter
con gián	cockroach, roach
cơn giận	fume
cơn giận dử	fury
cơn gió tuyết	snowdrift
con hố	tiger
còn hơi run	still trembling
con la	mule
cơn lốc	twister, tornado
con lợn	pig
con lừa	donkey
con mắt	eye
con mèo	cat
con mồi	prey
còn mới nguyên	new original
con ngao	clam
con ngỗng	goose
con ngựa	horse
con ngựa con	foal
con người	human
còn nguyên	still in one piece, unbroken
con nhím	porcupine
con ong	bee
con quạ	crow, raven
con quỷ	devil
con rắn	snake
con rể	son in law
con rệp	bug, tick-like
con rết	centipede
con rối	puppet
con rồng	dragon
con sâu	grub
con sóc	squirrel
con sói	wolf
còn sống	alive
cơn sốt	fever
con sư tử	lion
cơn thịnh nộ	rage, wrath
con thỏ	rabbit
con thú	beast
con thú con	cub
con tin	hostage
con trai	boy, son
con trăn	boar constrictor, serpent
con trẻ	young child
con trốt	whirlwind
côn trùng	insect
con vật	animal
con vẹt	parrot
con vịt	duck
cong	curve
còng	bent
công	a peacock; labour, work; public
cõng	carried on one's back
cống	portal
cọng	stem, a strand
cong 	curve
công an	police
công bằng	fair
công bố	announce, proclaim
công chính	public
công chúa	princess
công cộng	communal, public
công cụ	tool
công dân	citizen, civic
công đoàn	union
cống hiến	dedicate, devote
công khai	publicly, openly
công lao	merit
công lý	justice
công nhân	industry worker
công suất	capacity
công sức	effort
công tác	despatch
cộng thêm	additional
công thức	recipe, formula
công tố viên	prosecutor
công trình 	project
công tước	duke
công ty	company, firm
công việc	business, task, job, work
công viên	park
côngxecto	concerto
cônic	conic
cọp	tiger
cốt	bone, skeleton, essence
cột	column
cợt	to trifle; to tease
cột giường	bedpost
cọt kẹt	creaking
cót két 	creaking
cù	tickle
cũ	old
củ	bulb, tuber, root (food) (such as potato…)
cư	to dwell; to live
cụ	great elder
cứ	to continue; to keep on
cử	to delegate; to elect
cụ 	title to address an old person
cứ 	just go ahead and (action)
cự 	resist, defend against
cử chỉ	gesture
cừ khôi 	superb with achievement (individual)
cử nhân	diploma
cũ rích	corny
cụ thể	specific
cư trú	residence
cư xử	behave
cua	crab
