Term	Definition
blowfish	cá nóc
blowing	đang thổi
blows	thổi
blubber	béo
blue	màu xanh
bluebird	chim sơn ca
blueprint	bản kế hoạch, thiết kế
bluff	dốc đứng
blundered	đã sai lầm
blunderer	kẻ mắc lỗi
blundering	dại khờ
blunt	lỗ mãng
blur	sự mờ
blurry	mờ
blurt	thốt ra
blush	xấu hổ
bluster	lời khoe khoang khoác lác
boar	lợn lòi đực
board	bảng
boast	khoe khoang
boastful	sự khoe khoan
boat	thuyền
boats	những thuyền
bobbin	suốt
bodies	những thân xác
bodily	cơ thể
body	cơ thể
body guard	đội bảo vệ
bodyguard	vệ sĩ
boggy	lầy lội
bogus	giả mạo
boil	đun sôi
bold	đậm
boldest	táo bạo nhất
boldly	mạnh dạn
bologna	xúc xích thịt nghiền hun khói
bolt	bu-lông
bolted	đã bắt vít
bomb	bom
bombarded	đã bắn phá
bond	xây ghép
bone	xương
bones	những cái xương
bonfire	lửa mừng
bony	xương xẩu, còm
book	cuốn sách
bookcase	tủ sách
bookstore	hiệu sách
boom	bùng nổ
boomed	đã bùng phát
boomerang	bumơrang
booming	đang bùng phát
boorish	thô lỗ
boost	đẩy mạnh
bootleg	sao chép trộm
boots	bốt
booze	say sưa
border	biên giới
bore	khoang dùi, làm chán
borealis	thuộc gió/miền Bắc
bored	đã chán
boredom	nỗi buồn
born	sinh
borne	chịu, chịu đựng, mang, cầm,
borough	khu
borrow	vay
bosom	vòng tay
boss	ông chủ
botanic	thuộc thực vật
botanist	nhà thực vật học
botany	thực vật học
botch	làm sai
both	cả hai
bother	làm phiền
bothersome	gây khó chịu
bottle	chai
bottom	dưới cùng, đáy
bottom's	dưới cùng của
boughs	những cành cây
bought	mua
boulder	đá cuội
boulevard	đại lộ
bounce	nhảy vụt ra
bouncy	hoạt bát
bound	ràng buộc
boundary	ranh giới
bounded	đã hướng về
boundless	vô hạn
bounty	tiền trợ cấp
bouquet	bó hoa
boutique	cửa hiệu
bovine	thuộc về bò
bow	cây cung
bowel	ruột
bowl	cái bát
box	hộp
boxes	hộp
boxing	quyền anh
boy	con trai
boyish	trẻ con
boys	những con trai
brace	thanh giằng
braced	đã chuẩn bị, giữ chắc
bracelet	vòng đeo tay
bracket	dấu ngoặc đơn
brag	khoe khoang
bragged	khoác lác
braid	bện
brain	não
brainwash	tẩy não
brake	cái phanh
branch	chi nhánh
branching	nhánh
brand	thương hiệu
brass	thau
brave	dũng cảm
bravely	một cách can đảm
bravery	tánh can đảm
bravest	dũng cảm nhất
brawl	cãi lộn
brazen	trơ trẽn
breach	vi phạm
bread	bánh mì
break	phá vỡ, làm gãy
breakable	đập bể được
breakage	chọc thủng
breakdown	sự rạn nứt
breakfast	bữa ăn sáng
breaking	đang phá vỡ, làm gãy
breaks	phá vỡ, làm gãy
break-up	chia tay, phá vỡ, làm gãy
breast	vú
breast-band	giây ràng ức
breast-bands	giây ràng ức
breath	hơi thở
breathe	thở
breathed	đã thở
breathing	thở
breathless	hết hơi
breaths	những hơi thở
breathtaking	hùng vĩ
bred	nuôi, giống, loài
breed	loài giống
breeze	gió nhẹ
breezes	gió
brew	ủ
brewery	nhà máy bia
brewing	nấu chậm
bribe	đút lót
bribery	hối lộ
brick	gạch
bridal	thuộc đám cưới
bride	cô dâu
bridegroom	chú rể
bridesmaid	phù dâu
bridge	cầu
bridges	những cái cầu
brief	ngắn gọn
briefcase	cặp tài liệu
brigade	lữ đoàn
brigadier	đại tá
bright	tươi sáng
brighten	làm sáng
brilliant	rực rỡ
brindle	nâu đốm
brine	nước mặn
bring	mang lại
bringing	đưa
brink	bờ vực
brisk	nhanh
bristle	sợi cứng
bristled	đã vươn nanh dựng lông
bristling	đang tua tủa, vươn nanh dựng lông
broach	khoan
broad	rộng
broad-breasted	ngực rộng
broadcast	phát thanh
broaden	mở rộng
broader	rộng hơn
brochure	tờ rơi quảng cáo
broil	nướng
broke	đã phá vỡ
broken	bị phá vỡ
broken-heartedly	vỡ lòng
broker	môi giới
brokerage	môi giới
bronchial	phế quản
bronchitis	viêm phế quản
bronze	màu đồng
brood	ấp
brooded	đã nghiền ngẫm ủ ê
brooding	nghiền ngẫm
brook	suối
broom	chổi
brooms	chổi
broomstick	cán chổi
broth	canh
brothel	nhà chứa
brother	anh em
brother in law	anh rể (em rể)
brotherhood	tình anh em
brother-in-law	anh em rể
brothers	những anh em
brought	mang lại
brown	nâu
browse	duyệt
bruise	vết thâm
bruised	bầm tím
bruises	vết bầm tím
brush	chải
brutal	hung dư
brutality	tánh hung hăng
brutes	brutes
bubble	bong bóng
bubbled	đã bọt khí
bubbling	sủi bọt, nhộn nhịp
buck	hươu đực
bucked	đã đá ra
bucket	thùng
buckle	khóa
buckled	đã oằn
buckles	(những) khóa
bud	chồi
buddy	bạn thân
budge	nhường
budget	ngân sách
buds	nụ
buffet	tiệc đứng
bug	con rệp
bugging	nghe trộm
bugle	thổi tù và
build	xây dựng
building	đang xây dựng
built	xây dựng
bulb	bóng đèn
bulge	ưu thế
bulging	lồi lên
bulk	số lượng lớn
bulked	khối lớn
bull	bò đực
bullet	đạn (súng trường, súng lục)
bulls	con bò đực
bull's	của bò
bully	bắt nạt
bum	mông
bumble	nói lúng búng
bumblebee	ong nghệ
bump	va mạnh
bunch	bó
bunched	chụm
bundle	bó
bundled	đã đi kèm
bundles	bó
bunny	con thỏ
burden	gánh nặng
burdensome	nặng nề
burdock	cây ngưu bàng
bureau	cục
burglar	người ăn trộm
burglary	tội ăn trộm
burial	chôn cất
buried	đã chôn
burn	đốt cháy
burned	cháy
burning	đốt
burrow	đào
burrrow	tra cứu
burst	nổ
bursting	bùng nổ, vỡ ra
bury	chôn
bus	xe buýt
bush	bụi râm
business	kinh doanh, công việc
businesslike	phong cách làm thương mại
bust	ngực
busy	bận rộn
but	nhưng
butch	ái nam
butcher	người bán thịt
butcher shop	quầy bán thịt
butchery	lò mổ
butler	người hầu
butt	mông
butter	bơ
butterfly	bướm
buttock	mông
button	nút
buy	mua
by	qua
by the way	nhân đây
bye	tạm biệt
cab	xe taxi
cabbage	bắp cải
cabin	cabin
cabinet	nội các
cable	dây cáp
cactus	cây xương rồng
cadaver	tử thi
cadaverous	tái nhợt
caddy	hộp trà
cadences	những nhịp, điệu
cadent	có nhịp điệu
cadet	người đang học nghề
cafeteria	căng tin
cage	lồng
cajole	nịnh hót, đùa giỡn
calamity	thiên tai
calcium	canxi
calculate	tính toán
calculated	đã tính
calculating	đang tính
calculus	sỏi thận
calendar	lịch
calf	con bê
call	cuộc gọi
called	đã (bị) gọi, đã được gọi là
calligraphy	thuật viết chữ đẹp
calling	gọi
callous	da tay bị chay
callowness	non nớt, thiếu kinh nghiệm
callus	cục chai
calm	bình tĩnh
calmly	một cách bình tĩnh
calves	con bê; bắp chân
came	đến
camel	lạc đà
cameo	đồ gốm mài
camera	máy chụp ảnh
cameraman	thợ chụp ảnh
camouflage	ngụy trang
camp	trại
campaign	chiến dịch
camped	đã cắm trại
camping	đang cắm trại
camps	trại
campus	khuôn viên trường học
can	có thể
canadian	canadian
canal	kênh
canary	chim hoàng yến
cancel	hủy bỏ
cancellation	hủy bỏ
cancer	ung thư
candid	thẳng thắn
candidacy	ứng cử
candidate	ứng cử viên
candle	nến
candlelight	ánh nến
candlestick	giá đỡ nến
candy	kẹo
cane	mía
canine	(thuộc) chó
canister	bình
canned	đóng hộp
cannery	nhà máy đồ hộp
cannon	súng đại bác
cannonball	đại súng thần công
cannot	không thể
canopy	vòm
can't	(cannot) không thể
canvas	vải
canyon	hẻm núi
cap	nắp, nón
capable	có khả năng
capacious	có dung tích lớn
capacity	công suất
cape	mũi đất
caper	tội phạm
capillary	mao mạch
capital	thủ đô
capitulate	đầu hàng
caprice	bất ngờ
capricious	thất thường
capsized	đã lật úp
captain	đội trưởng
captivate	làm say đắm
captive	bị bắt giữ
captor	kẻ bắt giữ
capture	bắt giữ
car	xe hơi, ô tô
carbohydrate	Carbohydrat
carbon	các bon
carcass	tử thi, thây
carcasses	xác, thây
card	thẻ
cardiac	thuộc về tim
cardiology	tim mạch học
cardiovascular	tim mạch
care	quan tâm
cared	đã quan tâm
career	sự nghiệp
carefree	vô tư
careful	cẩn thận
carefully	một cách cẩn thận
careless	bất cẩn
caress	vuốt ve
caressing	vuốt ve
caretaker	quản gia
cargo	hàng hóa
carnival	ngày hội
carnivore	cây ăn sâu bọ
carnivorous	thú vật ăn thịt sống
carol	bài hát mừng
carp	cá chép
carpenter	người thợ mộc
carried	đã mang , đem
carrot	cà rốt
carry	mang
carrying	đang thực
cart	giỏ xe
cartilage	sụn
cartoon	phim hoạt hình
cartridges	hộp (mực, đạn...)
carve	tạc
carven	thuyền buồm nhỏ
case	trường hợp
casebook	sổ ghi những công việc đã giải quyết
cash	tiền mặt
cashier	thu ngân
casino	sòng bài
cask	thùng
casket	quan tài
cassette	băng catxet
cast	ném
casual	bất chợt
casualty	người bị thương
cat	con mèo
catalysis	sự xúc tác
catalyst	chất xúc tác
cataract	bệnh đục thủy tinh thể
catastrophe	tai ương
catastrophic	thảm khốc
catch	bắt
catching	bắt
catchy	dễ nhớ
category	hạng mục
caterpillar	máy kéo xích
catfish	cá da trơn
cat-footed	như chân mèo
catharsis	phấn chấn
cathedral	nhà thờ lớn
catholic	đạo thiên chúa
Catholicism	đạo thiên chúa
catlike	như mèo
cattle	gia súc
cattleman	người chăn trâu bò
cattlemen	tay chăn bò
caught	đã (bị) bắt
caulk	hàn
cause	nguyên nhân
caused	đã (bị) gây ra
caution	sự thận trọng
cautious	thận trọng
cautiously	thận trọng
cavalier	ung dung
cavalry	kỵ binh
cave	hang động
cave-dweller	kẻ sống ở hang động
cavern	hang lớn
cease	nghỉ, ngừng
ceased	đã ngừng
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỉ niệm
celebrity	người nổi tiếng
celerity	sự mau chóng
celestial	(thuộc) trời
cell	phòng tù
cell phone	điện thoại di động
celler	hầm chứa
cellular	có lỗ
Celsius	độ C
cement	xi măng
cemetery	nghĩa trang
censor	kiểm duyệt
census	sự kiểm kê
centenary	lễ kỉ niệm một trăm năm
centennial	(thuộc) lễ kỉ niệm một trăm năm
centerpiece	chính giữa
centipede	con rết
central	trung tâm
centre	trung tâm
centring	đi tới, đánh dấu
centuries	những thế kỷ
century	thế kỉ
ceramic	(thuộc) nghề làm đồ gốm
ceremonial	nghi thức
ceremony	lễ
certain	nhất định
certainly	chắc chắn
certainty	điều chắc chắn
certificate	giấy chứng nhận
certify	xác nhận
certitude	sự tin chắc
cessation	chấm dứt
chaff	chuyện không quan trọng; từ chối
chaffering	trả giá, kỳ nèo
chain	chuỗi
chair	ghế
chairman	chủ tịch
chaise lounge	ghế dài
chalice	cốc
chalk	phấn
challenge	thách thức
challenging	đang thách thức
chamber	phòng
chameleon	tắc kè hoa
Champaign	đồng bằng
champion	nhà vô địch
chance	cơ hội
chanced	tình cờ
chancellor	thủ tướng
chances	cơ hội
change	thay đổi
changeable	hay thay đổi
changed	đã (bị) thay đổi
changeover	sự chỉnh lại
changing	đang thay đổi
channel	kênh
chant	ca
chaotic	hỗn loạn
chapel	nhà thờ nhỏ
chaperon	người đi kèm
chapter	chương
char	than
character	nhân vật
characteristic	đặc trưng
characterized	đã đặc trưng
charge	phí
charged	đã (bị)tính phí, tấn công
chariot	xe ngựa
charity	từ thiện
charm	sự quyến rũ
chart	biểu đồ
chase	đuổi bắt
chasm	hang sâu; ngăn cách
chattered	tán dóc; nói chuyện lông bông
chattering	trò chuyện
cheap	rẻ tiền
cheaper	rẻ hơn
cheat	lừa dối
check	kiểm tra
checked	đã (bị) kiểm tra
cheek	má
cheekbone	xương gò má
cheeks	gò má
cheer	cổ vũ
cheerful	vui vẻ
cheering	hoan hô
cheers	chúc sức khỏe
cheery	người vui tánh
chemically	theo cách hóa học
chemise	đồ lót
chemist	nhà hóa học
chemistry	hóa học
chemotherapy	hóa học trị liệu
cherish	yêu mến
cherished	ấp ủ, trân quý
cherry	quả sơ ri
chest	ngực
chestnut	hạt dẻ
chests	những ngực
chevalier	hiệp sĩ
chew	nhai
chewed	đã nhai
chic	sang trọng
chick	con gà con
chicken	con gà
chide	mắng
chief	trưởng
child	trẻ em
childhood	tuổi thơ
childish	như trẻ con
children	trẻ em
chill	thư giãn
chilly	lạnh lẽo
chimney	ống khói
chin	cằm
China	Trung Quốc
chinese	thuộc Trung Quốc
chip	chíp
chipmunk	sóc chuột
chipmunks	loài sóc nhỏ
chiropractor	người nắn bóp
chisel	cái đục
chivalrous	tính hiệp si
chivalrously	tính hiệp si
chlorine	clo
choice	sự lựa chọn
choir	đội hợp ca
choke	làm nghẹt thở
choked	đã (bị) nghẹn ngào, nghẹn thở
choking	nghẹt thở
choose	chọn
chop	bổ, chặt, băm
chopping	đang chặt
chops	những mép, sườn
chopstick	đũa
chore	việc lặt vặt
chorus	hợp ca
chosen	lựa chọn
Christian	đạo tin lành
Christmas	Giáng sinh
chronic	mãn tính
chronicle	sử biên niên
chubby	mũm mĩm
chuckle	cười
chuckling	đang cười
chunk	chunk
chunks	những khối
church	nhà thờ
churn	thùng đánh kem
churned	khuấy tạo ra
churning	khuấy
cigarette	thuốc lá
cinder	xỉ
cinema	rạp chiếu phim
cinematic	điện ảnh
cinnamon	quế
circle	vòng tròn
circled	đã lượn vòng
circles	những vòng tròn
circling	đang vòng quanh
circular	vòng
circulate	truyền
circulatory	lưu thông
circumcise	cắt bao quy đầu
circumcision	cắt bao quy đầu
circus	rạp xiếc
citation	trích dẫn
cities	những thành phố
citizen	công dân
citizens	công dân
city	thành phố
civic	công dân
civil	thường dân
civilian	thường dân
civilization	nền văn minh
civilized	có văn minh
civilizing	văn minh
claim	đòi bồi thường
claims	tuyên bố
clam	con ngao
clamor	kêu la
clamp	cái kẹp
clannish	trung thành
clap	vỗ (tay)
clarify	làm rõ
clarity	làm rõ
clash	cuộc đụng độ
clashed	đã xung đột
clasp	cái móc
clasped	đã siết chặt
class	lớp học
classic	cổ điển
classification	phân loại
classify	phân loại
classmate	bạn học
classroom	lớp học
classy	xuất sắc
claw	cái móc
claws	móng vuốt
clay	đất sét
clean	sạch
cleaned	đã làm sạch
cleanly	sạch sẻ
cleansed	làm sạch
clear	rõ ràng
cleared	xóa
clearing	thanh toán bù trừ
clearly	rõ ràng
cleave	bổ
clenching	siết chặt
clergy	tăng lữ
cleric	giáo sỹ
clerk	thư ký bàn giấy
clerks	thư ký
clever	thông minh
client	khách hàng
cliff	cheo leo
climate	khí hậu
climax	đỉnh điểm
climb	trèo
climbed	đã tăng, leo trèo
climes	những khí hậu
clinch	xác nhận
clinching	nắm chắc, giữ chặt
cling	bám
clinging	bám
clinic	phòng
clip	cái cặp
clipped	đã xén
clipping	đang clipping
cloak	áo choàng
clock	đồng hồ
clockwise	chiều kim đồng hộ
clog	bịt kín
cloister	nhốt
clone	nhân bản vô tính
close	đóng
closed	đã (bị) đóng
closely	chặt chẽ
closer	gần gũi hơn
closet	tủ quần áo
closing	đang đóng cửa
closure	đóng
clot	cục
cloth	vải
clothe	mặc quần áo
clothes	quần áo
clothes-bags	túi quần áo 
clothes-sack	bao quần áo 
cloud	điện toán đám mây
cloudy	có mây
clout	quyền lực không chính thức
clown	người hề
cloy	làm phát ngấy
club	câu lạc bộ
clubbed	đã đập
clubbing	đang đập
clubs	những câu lạc bộ
clue	manh mối
clumsy	vụng về
clung	bám
clutch	ly hợp
clutched	nắm chặt
clutching	đang tay nắm chặt
clutter	tiếng ồn
coach	huấn luyện viên
coal	than
coalition	liên minh
coals	những than
coarse	thô
coarsen	làm thành thô
coast	bờ biển
coastal	ven biển
coastline	đường biển
coat	áo khoác
coated	đã phủ tráng
coats	những áo khoác
coax	dỗ
cobble	chỉnh sửa
cobweb	mạng nhện
cock	gà trống
cockpit	bãi chọi gà
cockroach	con gián
cocky	tự phụ
cocoon	kén
cod	cá tuyết
code	mã số, định luật
coexist	cùng tồn tại
coexistent	cùng tồn tại
coffin	quan tài
cohere	kết lại với nhau
coherent	mạch lạc
cohesion	dính kết
cohesive	dính liền
coil	cuộn
coils	cuộn dây
coin	đồng xu
coincide	trùng với
coincidental	trùng khớp
cold	lạnh
colder	lạnh hơn
coldly	một cách lạnh lùng
